Name.of.School,Code,Level.of.Education,Status.of.School,Sponsor.of.School,School.Institution.Type_1,School.Institution.Type_2,School.Institution.Type_3,Pupil.Teacher.Ratio,Pupil.Classroom.Ratio,Pupil.Toilet.Ratio,Total.Number.of.Classrooms,Boys.Toilets,Girls.Toilets,Teachers.Toilets,Total.Toilets,Total.Boys,Total.Girls,Total.Enrolment,GOK.TSC.Male,GOK.TSC.Female,Local.Authority.Male,Local.Authority.Female,PTA.BOG.Male,PTA.BOG.Female,Others.Male,Others.Female,Non.Teaching.Staff.Male,Non.Teaching.Staff.Female,Province,District,Division,Location,Costituency,Geolocation,_Geolocation_latitude,_Geolocation_longitude,_Geolocation_altitude,_Geolocation_precision,meta/instanceID,_uuid,_submission_time
VICTORY WAVE ACADEMY,711,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.8,5.8,7.7,4,2,1,1,0,0,0,23,0,0,0,0,0,0,2,2,0,2,CENTRAL,KIRINYAGA,CENTRAL-KIRINYAGA,INOI,KERUGOYA/KUTUS,-0.464117 37.273568,n/a,n/a,n/a,n/a,uuid:05ce0a22-e74e-4bd7-9ec7-fb9221b54408,05ce0a22-e74e-4bd7-9ec7-fb9221b54408,2013-03-04T08:24:22
KIBIRIGWI WINNERS ACADEMY,533,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10,10,10,8,4,4,2,0,0,0,80,0,0,0,0,0,0,4,4,1,1,CENTRAL,KIRINYAGA,NDIA,KIINE NORTH,NDIA,-0.52599 37.19282,n/a,n/a,n/a,n/a,uuid:05c3fc8d-c02f-4d12-acdd-b73c76ad3dc4,05c3fc8d-c02f-4d12-acdd-b73c76ad3dc4,2013-03-04T08:20:58
KARUCHO PRI,622,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,35.5,29.9,17.8,19,18,14,2,0,0,0,568,7,9,0,0,0,0,0,0,1,1,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,GICHUGU,-0.504939 37.385198,n/a,n/a,n/a,n/a,uuid:eeffa68b-ee70-4aa4-a7e0-175edcd4a755,eeffa68b-ee70-4aa4-a7e0-175edcd4a755,2013-03-04T08:22:55
KAHURU PRI,800,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,36.5,36.5,19.5,8,5,10,3,0,0,0,292,3,5,0,0,0,0,0,0,1,0,CENTRAL,NYERI,MATHIRA,IRIA-INI,MATHIRA,-0.458342 37.16117,n/a,n/a,n/a,n/a,uuid:aa4b794f-0d07-4b2b-9706-6e3e89a3feb1,aa4b794f-0d07-4b2b-9706-6e3e89a3feb1,2013-03-04T08:23:27
GATUGURA PRI,673,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,38.8,26.4,12.9,25,33,18,4,0,0,0,660,5,12,0,0,0,0,0,0,2,1,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,GICHUGU,-0.452951 37.312176,n/a,n/a,n/a,n/a,uuid:4ec8ffdd-85d7-4e7d-b3f7-61c6f0151061,4ec8ffdd-85d7-4e7d-b3f7-61c6f0151061,2013-03-04T08:23:14
GITUMBI SDA PRI,637,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY & BOARDING,ORDINARY,9.9,8.3,9,12,7,4,2,0,0,0,99,0,0,0,0,0,0,5,5,0,0,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,GICHUGU,-0.418671 37.394661,n/a,n/a,n/a,n/a,uuid:b4f09409-51ef-40a8-aa06-4639a258d2d8,b4f09409-51ef-40a8-aa06-4639a258d2d8,2013-03-04T08:22:51
REV WAJEE ELITE ACADEMY PRI SCH,51,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,2.8,2.8,5.5,4,1,1,1,0,0,0,11,0,0,0,0,0,0,0,4,0,1,CENTRAL,NYERI,MUKURWE-INI,GIATHUGU,MUKURWE-INI,-0.564946 37.079286,n/a,n/a,n/a,n/a,uuid:7ef24d71-c9b0-4169-a9f9-1b2cea49ebf7,7ef24d71-c9b0-4169-a9f9-1b2cea49ebf7,2013-03-04T08:14:26
NGUNGURU PRI,863,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,27.3,15.7,13.6,26,16,14,4,0,0,0,409,3,12,0,0,0,0,0,0,1,1,CENTRAL,NYERI,MATHIRA,KIRIMUKUYU,MATHIRA,-0.506577 37.095095,n/a,n/a,n/a,n/a,uuid:581669a2-b8af-474d-bb53-ff3b75cd894e,581669a2-b8af-474d-bb53-ff3b75cd894e,2013-03-04T08:26:08
KERUGOYA PCEA ACADEMY,778,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,12,12,12,6,3,3,1,0,0,0,72,0,0,0,0,0,0,3,3,0,2,CENTRAL,KIRINYAGA,CENTRAL-KIRINYAGA,KERUGOYA,KERUGOYA/KUTUS,-0.497497 37.274997,n/a,n/a,n/a,n/a,uuid:4e84281a-bb99-4afb-9c70-d2d7127aa795,4e84281a-bb99-4afb-9c70-d2d7127aa795,2013-03-04T08:24:29
KIAMWATHI PRI,675,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,36.5,26.3,13.4,25,24,25,6,0,0,0,657,6,12,0,0,0,0,0,0,2,1,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,GICHUGU,-0.493204 37.328313,n/a,n/a,n/a,n/a,uuid:fdbce290-58db-4ef3-b7f5-bad0ce545950,fdbce290-58db-4ef3-b7f5-bad0ce545950,2013-03-04T08:22:52
GATWE PRI,611,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,25.5,31.4,21.5,26,16,22,6,0,0,0,817,12,19,0,0,0,1,0,0,1,1,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KERUGOYA/KUTUS,-0.436251 37.238787,n/a,n/a,n/a,n/a,uuid:0b914af6-b0ae-41a3-af12-8d3d21462dad,0b914af6-b0ae-41a3-af12-8d3d21462dad,2013-03-04T08:22:53
GAKOE INI PRI,1274,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,32,35.6,16,9,12,8,2,0,0,0,320,4,6,0,0,0,0,0,0,1,0,CENTRAL,MARAGUA,KIGUMO,KIGUMO,KIGUMO,-0.806516 36.954245,n/a,n/a,n/a,n/a,uuid:7c4b7c7a-3ce5-4d0e-83b2-40988f9ff33a,7c4b7c7a-3ce5-4d0e-83b2-40988f9ff33a,2013-03-04T08:31:30
GOOD HOPE ACADEMY,525,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,6,6,3,1,2,1,0,0,0,18,0,0,0,0,0,0,1,1,0,0,CENTRAL,KIRINYAGA,NDIA,KIINE NORTH,NDIA,-0.46504 37.18907,n/a,n/a,n/a,n/a,uuid:ce1cf6bf-9095-4839-9072-57215b0f1bc8,ce1cf6bf-9095-4839-9072-57215b0f1bc8,2013-03-04T08:21:41
KABONGE PRI,577,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,26.3,21.4,20.1,16,9,8,3,0,0,0,342,3,10,0,0,0,0,0,0,1,1,CENTRAL,KIRINYAGA,NDIA,MUKURE,NDIA,-0.488948 37.212654,n/a,n/a,n/a,n/a,uuid:82db2381-295c-4c71-9d97-88e4c7274cfe,82db2381-295c-4c71-9d97-88e4c7274cfe,2013-03-04T08:21:40
JOYSTAR ACADEMY,527,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.5,21.5,26.9,10,4,4,2,0,0,0,215,0,0,0,0,0,0,3,7,0,2,CENTRAL,KIRINYAGA,MATHIRA,IRIA-INI,MATHIRA,-0.47933 37.17507,n/a,n/a,n/a,n/a,uuid:cb37c84f-d5d9-4a98-b588-c18fb64e8d34,cb37c84f-d5d9-4a98-b588-c18fb64e8d34,2013-03-04T08:20:57
KIGUMO PRI,1279,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,20.4,21.2,13.8,26,24,16,6,0,0,0,550,13,14,0,0,0,0,0,0,1,1,CENTRAL,MARAGUA,KIGUMO,KIGUMO,KIGUMO,-0.797724 36.953676,n/a,n/a,n/a,n/a,uuid:759bfba8-c667-4699-98d6-1a5a640cd58e,759bfba8-c667-4699-98d6-1a5a640cd58e,2013-03-04T08:31:39
KAHARATI PRI SCH,1204,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,39.2,39.2,26.1,16,16,8,2,0,0,0,627,3,13,0,0,0,0,0,0,1,1,CENTRAL,MARAGUA,MAKUYU,KAMAHUHA,MARAGWA,-0.839903 37.148553,n/a,n/a,n/a,n/a,uuid:d2a5447b-d4b5-4866-82d0-80004dd3c0ee,d2a5447b-d4b5-4866-82d0-80004dd3c0ee,2013-03-04T08:31:40
ST PAULS KUTUS SPECIAL UNIT,719,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,SPECIAL SCHOOL,7.5,15,1.1,1,8,6,2,0,0,0,15,0,2,0,0,0,0,0,0,1,0,CENTRAL,KIRINYAGA,CENTRAL-KIRINYAGA,KUTUS,MWEA,-0.576439 37.322495,n/a,n/a,n/a,n/a,uuid:3015e615-60e8-485b-9278-92773f6a5480,3015e615-60e8-485b-9278-92773f6a5480,2013-03-04T08:23:59
ITARA PRI SCH,1260,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,43.4,40.1,27.4,13,9,10,1,0,0,0,521,10,2,0,0,0,0,0,0,1,0,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,MARAGWA,-0.810501 37.060811,n/a,n/a,n/a,n/a,uuid:b9dbd923-e88c-4c0a-8193-cc8ee6146b80,b9dbd923-e88c-4c0a-8193-cc8ee6146b80,2013-03-04T08:31:40
KAMUNGANGA PRI,1286,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,32.8,18.7,13.1,28,18,22,4,0,0,0,524,7,7,0,0,1,1,0,0,2,0,CENTRAL,MARAGUA,KIGUMO,KIGUMO,KIGUMO,-0.783672 36.97921,n/a,n/a,n/a,n/a,uuid:af6c1fa9-8809-4906-9294-fa8e7a28e17e,af6c1fa9-8809-4906-9294-fa8e7a28e17e,2013-03-04T08:31:41
PCEA NJATHAINI PRI,890,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,28.6,20,22.2,10,2,7,1,0,0,0,200,6,1,0,0,0,0,0,0,1,1,CENTRAL,NYERI,MATHIRA,RUGURU,MATHIRA,-0.386284 37.106355,n/a,n/a,n/a,n/a,uuid:c37ccab2-8ec4-4f32-9001-6e3e3722d3b9,c37ccab2-8ec4-4f32-9001-6e3e3722d3b9,2013-03-04T08:25:32
KABUMBU NEHEMA ACADEMY,712,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.8,5.7,6.8,6,3,2,2,0,0,0,34,0,0,0,0,0,0,2,3,1,0,CENTRAL,KIRINYAGA,CENTRAL-KIRINYAGA,KERUGOYA,KERUGOYA/KUTUS,-0.475135 37.27756,n/a,n/a,n/a,n/a,uuid:0ef037d5-76fd-40cd-a442-7978e0658d9e,0ef037d5-76fd-40cd-a442-7978e0658d9e,2013-03-04T08:23:57
